ID,Repository_Name,Repository_URL,Repository_Contacts,Repository_Size,Repository_Language,Repository_Provider_Type,Institution_Name,Institution_Country,Institution_Responsibility_Type,Institution_Type,Institution_URL,Policies,Database_Accesses,Database_Licenses,Data_Accesses,Data_Licenses
r3d100010884,Surveillance Epidemiology and End Results,http://seer.cancer.gov/,http://seer.cancer.gov/about/contact.html seerweb@imsweb.com ,,eng,dataProvider,National Cancer Institute at the National Institutes of Health,USA,general,non-profit,http://www.cancer.gov/,Data-Use agreement(http://seer.cancer.gov/data/sample-dua.html) privacy policy(http://seer.cancer.gov/about/privacy/) ,open ,,open  restricted  restricted  ,Copyrights (http://seer.cancer.gov/about/privacy/) Public Domain (http://seer.cancer.gov/about/privacy/) 
r3d100010886,Demographic and Health Surveys,https://dhsprogram.com/,archive@dhsprogram.com https://dhsprogram.com/Who-We-Are/Contact-Us.cfm ,,eng,dataProvider,US Agency for International Development,USA,funding,non-profit,https://www.usaid.gov/,Using Datasets for Analysis(https://dhsprogram.com/data/Using-Datasets-for-Analysis.cfm) ,open ,,restricted  ,other (https://dhsprogram.com/data/Using-DataSets-for-Analysis.cfm) 
r3d100010895,Journal of Cell Biology - JCB DataViewer,https://rupress.org/jcb/pages/history,,,eng,dataProvider,Rockefeller University Press,USA,general,commercial,https://rupress.org/,,open ,,open  ,CC (http://www.creativecommons.org/licenses/) 
r3d100010898,Center for Demography of Health and Aging,https://cdha.wisc.edu/,cdhadata@ssc.wisc.edu https://cdha.wisc.edu/services-contacts/ ,,eng,dataProvider,University of Wisconsin,USA,general,non-profit,https://www.wisconsin.edu/,Coldroom Data Protection Plan (restricted use data sets)(https://www.disc.wisc.edu/restricted/DataProtectionPlan20100322.pdf) NIH Public Access Policy(https://publicaccess.nih.gov/) Terms of use BADGIR (public use data sets)(https://www.ssc.wisc.edu/cdha/services/terms.html) ,open ,,restricted  restricted  ,Copyrights (https://nesstar.ssc.wisc.edu/webview/) other (https://www.disc.wisc.edu/restricted/DataProtectionPlan20100322.pdf) other (https://www.ssc.wisc.edu/cdha/services/terms.html) 
r3d100010910,PDBj,https://pdbj.org/,https://pdbj.org/contact?tab=PDBjmaster ,146.502 entries,eng,dataProvider,Worldwide Protein Data Bank,AAA,sponsoring,non-profit,http://www.wwpdb.org/,Usage Policies(http://www.rcsb.org/pdb/static.do?p=general_information/about_pdb/policies_references.html) wwPDB Agreement(http://www.wwpdb.org/about/agreement) ,open ,CC (https://creativecommons.org/licenses/by/4.0/) ,embargoed  open  ,CC (https://creativecommons.org/licenses/by/4.0/) Copyrights (https://pdbj.org/) other (http://www.wwpdb.org/about/agreement) 
r3d100010921,BeetleBase,http://beetlebase.org/,bioinfo@ksu.edu http://beetlebase.org/?q=people ,,eng,dataProvider,U.S. Department of Agriculture,USA,funding,non-profit,https://www.ars.usda.gov/,Information Disclaimer(http://beetlebase.org/?q=about_us) ,open ,,open  ,Public Domain (http://bioinformatics.k-state.edu/research.html) 
r3d100010931,The Human Protein Atlas,http://www.proteinatlas.org/,contact@proteinatlas.org. ,Proteome analysis based on: 17.000 unique proteins;   26.009 antibodies;,eng,dataProvider,"Uppsala University,  Rudbeck Laboratory",SWE,general,non-profit,http://www.rudbeck.uu.se/?languageId=1,Licence and citation policy(http://www.proteinatlas.org/about/licence) ,open ,,embargoed  open  ,CC (https://creativecommons.org/licenses/by-nc-nd/4.0/) other (http://www.proteinatlas.org/about/licence) 
r3d100010937,MedEffect Canada - Adverse Reaction Database,https://www.canada.ca/en/health-canada/services/drugs-health-products/medeffect-canada.html,CanadaVigilance@hc-sc.gc.ca ,,eng,dataProvider,Health Canada,CAN,general,non-profit,https://www.canada.ca/en/health-canada.html,"Caveat, Privacy Statement and Interpretation of Data(https://www.canada.ca/en/health-canada/services/drugs-health-products/medeffect-canada/adverse-reaction-database/medeffect-canada-caveat-privacy-statement-interpretation-data-extract-vigilance-adverse-reaction-online-database.html) Terms and conditions(http://www.hc-sc.gc.ca/home-accueil/important-eng.php) ",open ,,open  ,Copyrights (http://www.hc-sc.gc.ca/home-accueil/important-eng.php) other (http://www.hc-sc.gc.ca/home-accueil/important-eng.php) 
r3d100010946,diversitydata.org,http://diversitydata.org,info@diversitydata.org ,,eng,dataProvider,W.K. Kellog Foundation,USA,funding,non-profit,https://www.wkkf.org/,Heller Policies(http://heller.brandeis.edu/policies/) Information Security Policy(http://heller.brandeis.edu/policies/secure-heller.html) ,open ,,open  ,Copyrights (http://heller.brandeis.edu/policies/secure-heller.html) other (http://heller.brandeis.edu/policies/pdfs/secure-heller/certificate-of-disposition-9-4-12.pdf) 
r3d100010953,Polar Data Catalogue,https://www.polardata.ca/,https://ccin.ca/about/contact pdc@uwaterloo.ca ,,eng,serviceProvider,Polar Knowledge Canada,CAN,funding,non-profit,https://www.canada.ca/en/polar-knowledge.html,CoreTrustSeal assessment PDC(https://www.coretrustseal.org/wp-content/uploads/2021/02/Polar-Data-Catalogue.pdf) Creating metadata in the Polar Data Catalogue(https://arcticnet.ulaval.ca//Docs/pdc_instructions_for_creating_metadata.pdf) Data Policy(https://www.polardata.ca/pdcinput/public/data-policy.pdf) Terms of Use of the Polar Data Catalogue(https://www.polardata.ca/pdcinput/public/termsofuse) ,open ,other (https://www.polardata.ca/pdcinput/public/termsofuse) ,open  ,other (https://www.polardata.ca/pdcsearch/) 
r3d100010965,Integrated Fertility Survey Series,,,655 citing publications,eng,dataProvider,"University of Michigan, Inter-university Consortium for Political and Social Research",USA,general,non-profit,https://www.icpsr.umich.edu/icpsrweb/,Access and Dissemination(https://www.icpsr.umich.edu/icpsrweb/content/datamanagement/lifecycle/access.html) User Guide(http://www.icpsr.umich.edu/files/IFSS/ifss-user-guide.docx) ,open ,,open  restricted  restricted  ,Copyrights (https://www.icpsr.umich.edu/icpsrweb/content/datamanagement/lifecycle/details.html) other (https://www.icpsr.umich.edu/icpsrweb/content/datamanagement/lifecycle/details.html) 
r3d100010970,Indian Genetic Disease Database,http://www.igdd.iicb.res.in/home.htm,igdd.iicb@gmail.com kunalray@gmail.com sandippaul@iicb.res.in sengupta.mainak@gmail.com ,http://www.igdd.iicb.res.in/statistics.htm,eng,dataProvider,"Government of India, Ministry of Science and Technology, Department of Biotechnology",IND,general,non-profit,http://dbtindia.gov.in/,Policy(https://academic.oup.com/nar/article/39/suppl_1/D933/2505935) ,closed ,,open  ,Copyrights (https://www.csir.res.in/website-policy) 
r3d100010973,TBNet India,,,8.178 genes,eng,dataProvider,National JALMA Institute of Leprosy and Other Mycobacterial Diseseases,IND,general,non-profit,https://www.jalma-icmr.org.in/,,restricted ,,open  ,other (https://dst.gov.in/sites/default/files/APPROVED%20OPEN%20ACCESS%20POLICY-DBT%26DST%2812.12.2014%29_1.pdf) 
r3d100010978,Human Protein Reference Database,http://www.hprd.org,http://hprd.org/help ,30.047 protein entries; 41.327 protein-protein interactions; 93.710 PTM's; 112.158 protein expression; 22.490 subcellular localization; 470 domains; 453.521 PubMed Links,eng,dataProvider,"Johns Hopkins University, Institute for Basic Biomedical Sciences",USA,general,non-profit,https://www.hopkinsmedicine.org/institute_basic_biomedical_sciences/,Copyright Compliance Policy(https://www.jhu.edu/assets/uploads/2016/11/compliance_policy.pdf) Intellectual Property Policy(https://ventures.jhu.edu/wp-content/uploads/2019/10/The-IP-Policy.pdf) ,open ,,restricted  ,Copyrights (https://www.jhu.edu/assets/uploads/2016/11/compliance_policy.pdf) 
r3d100010980,Clinical Trials Registry - India,http://ctri.nic.in/Clinicaltrials/login.php,ctri@gov.in http://ctri.nic.in/Clinicaltrials/feedback.php ,,eng,dataProvider,World Health Organization,AAA,funding,non-profit,http://www.who.int/en/,Criteria for registration(http://ctri.nic.in/Clinicaltrials/faq.php#6a) Registration of Clinical trials(http://ctri.nic.in/Clinicaltrials/faq.php#5a) ,open ,other (http://www.apache.org/licenses/) ,open  ,other (http://ctri.nic.in/Clinicaltrials/login.php) 
r3d100010985,Human Proteinpedia,http://www.humanproteinpedia.org,http://hprd.org/help ,"2.710 experiments; 15.231 protein entries; 1.960.352 peptide identifications; 4.855.122 MS/MS spectra; 150.368 protein expression, 17.410 post-translational modifications; 34.624 protein-protein ineractions; 2.906 subcellular localization",eng,dataProvider,"Johns Hopkins University, Pandey Lab",USA,general,non-profit,https://www.hopkinsmedicine.org/institute_basic_biomedical_sciences/research_centers/high_throughput_biology_hit/technology_center_networks_pathways/investigators/pandey.html,Data Services(https://dmp.data.jhu.edu/resources/jhu-policies/) ,open ,,closed  open  restricted  ,other (https://guides.library.jhu.edu/copyright) 
r3d100010986,Estonian Biocentre Free Data,http://evolbio.ut.ee/,mait@ebc.ee ,,eng,dataProvider,Estonian Biocentre,EST,general,non-profit,http://www.ebc.ee/index.php?lang=en,Data access(http://www.geenivaramu.ee/en/access-biopank/data-access) ,open ,,open  ,Public Domain (http://evolbio.ut.ee/) 
r3d100010990,HCUPnet,http://hcupnet.ahrq.gov,hcup@ahrq.hhs.gov ,,eng,dataProvider,"U.S. Department of Health and Human Services, Agency for Healthcare Research and Quality",USA,general,non-profit,http://www.ahrq.gov/index.html,HHS Grants Policy Statement(https://www.hhs.gov/sites/default/files/grants/grants/policies-regulations/hhsgps107.pdf) ,open ,,open  ,other (https://www.hhs.gov/sites/default/files/grants/grants/policies-regulations/hhsgps107.pdf) 
r3d100010997,NCBI Clone DB,https://ncbiinsights.ncbi.nlm.nih.gov/?s=clone+db,,,eng,dataProvider,United States National Library of Medicine,USA,general,non-profit,https://www.nlm.nih.gov/,NIH Public Access Policy(https://publicaccess.nih.gov/policy.htm) ,open ,,open  ,Public Domain (https://www.ncbi.nlm.nih.gov/home/about/policies/) 
r3d100011004,NCBI Influenza Virus Resource,https://www.ncbi.nlm.nih.gov/genomes/FLU/Database/nph-select.cgi?go=database,info@ncbi.nlm.nih.gov ,> 700.000 sequences,eng,dataProvider,United States National Library of Medicine,USA,general,non-profit,https://www.nlm.nih.gov/,NIH Public Access Policy(https://publicaccess.nih.gov/policy.htm) ,open ,,open  ,Copyrights (https://www.ncbi.nlm.nih.gov/home/about/policies/) Public Domain (https://www.ncbi.nlm.nih.gov/home/about/policies/) other (https://www.ncbi.nlm.nih.gov/home/about/policies/) 
r3d100011005,NCBI Virus Variation,https://www.ncbi.nlm.nih.gov/genome/viruses/variation/,genomes@ncbi.nlm.nih.gov ,,eng,dataProvider,United States National Library of Medicine,USA,general,non-profit,https://www.nlm.nih.gov/,NIH Public Access Policy(https://publicaccess.nih.gov/policy.htm) ,open ,,open  ,Public Domain (https://www.ncbi.nlm.nih.gov/home/about/policies/) other (https://www.ncbi.nlm.nih.gov/home/about/policies/) 
r3d100011007,Oral Cancer Gene Database,http://www.actrec.gov.in/OCDB/index.htm,ngadewal@actrec.gov.in szingde@actrec.gov.in ,374 genes,eng,serviceProvider,"Advanced Centre for Treatment, Research and Education in Cancer, Tata Memorial Centre",IND,funding,non-profit,https://tmc.gov.in/actrec/,Disclaimer(https://tmc.gov.in/actrec/index.php/disclaimer) ,open ,,open  ,Copyrights (https://tmc.gov.in/actrec/index.php/disclaimer) 
r3d100011008,Systematic Review Data Repository,https://srdr.ahrq.gov/,SRDR@ahrq.hhs.gov ,152 Public Project Complete,eng,dataProvider,"U.S. Department of Health & Human Services, Agency for Healthcare Research and Quality",USA,funding,non-profit,https://www.ahrq.gov/index.html,AHRQ Clinical Guidelines and Recommendations(https://www.ahrq.gov/professionals/clinicians-providers/guidelines-recommendations/index.html) SRDR Comment Policy(https://srdr.ahrq.gov/home/policies#data_sharing) SRDR Data Sharing Policy(https://srdr.ahrq.gov/home/policies#data_sharing) ,open ,,embargoed  open  ,CC (https://creativecommons.org/licenses/by-nc/3.0/) 
r3d100011022,HIV & AIDS Costs & Use,https://archive.ahrq.gov/research/findings/factsheets/costs/hcsus/index.html,,,eng,dataProvider,U.S. Department of Health and Human Services,USA,funding,non-profit,https://www.hhs.gov/,Electronic Policies(http://www.ahrq.gov/policy/electronic/about/policyix.html) ,open ,,restricted  ,Copyrights (http://www.ahrq.gov/policy/electronic/copyright/index.html) Public Domain (https://info.ahrq.gov/app/answers/detail/a_id/341/kw/copyright/) 
r3d100011038,Qualitative Data Repository,https://qdr.syr.edu/,cmpage@syr.edu qdr@syr.edu ,4 collections; 94 data projects; 12.716 Files,eng,dataProvider,"Syracuse University's Maxwell School of Citizenship and Public Affairs, Center for Qualitative and Multi-Method Inquiry",USA,general,non-profit,https://www.maxwell.syr.edu/cqmi/,CoreTrustSeal assessment(https://www.coretrustseal.org/wp-content/uploads/2018/11/Qualitative-Data-Repository.pdf) General terms and conditions of use(https://qdr.syr.edu/termsandconditions) ,open ,CC (https://creativecommons.org/licenses/) ,closed  restricted  restricted  ,Copyrights (https://qdr.syr.edu/termsandconditions) other (https://qdr.syr.edu/termsandconditions) 
r3d100011041,Fungal Genetics Stock Center,http://www.fgsc.net/,http://www.fgsc.net/contact.asp ,"Over 23.000 Neurospora strains, a growing number of Neurospora knock-outs, over 2.000 Aspergillus strains and various representatives of other fungi",eng,dataProvider,"University of Missouri, School of Biological Sciences, Fungal Genetics Stock Center",USA,general,commercial,http://www.fgsc.net/,"FGSC Policies ( Shipping/Fees )(http://www.fgsc.net/newship.html) Information describing FGSC policies, strain availability, origins, and other topics covered in the FGSC catalog(http://www.fgsc.net/cat4web.html#avail) USCCN policy(http://www.usccn.org/pubpolicy/Pages/default.aspx) ",open ,,open  restricted  ,Public Domain (http://www.fgsc.net/disclaimer.htm) other (http://www.fgsc.net/cat4web.html#avail) 
r3d100011042,ClinicalCodes.org,https://clinicalcodes.rss.mhs.man.ac.uk/,https://clinicalcodes.rss.mhs.man.ac.uk/contact/ ,84.346 clinical codes deposited; over 499 code lists,eng,dataProvider,"University of Manchester, Faculty of Biology, Medicine and Health",GBR,general,non-profit,https://www.bmh.manchester.ac.uk/,,open ,,open  ,Copyrights (https://www.manchester.ac.uk/copyright/) 
r3d100011049,STOREDB,https://www.storedb.org/store_v3/,PNS12@cam.ac.uk ,84 studies,eng,dataProvider,"University of Cambridge, Department of Physiology, Development and Neuroscience",GBR,general,non-profit,https://www.pdn.cam.ac.uk/,Copyright Notice(https://www.storedb.org/store_v3/disclaimer.jsp) ,open ,CC (https://creativecommons.org/licenses/by-nc-sa/3.0/) ,embargoed  open  restricted  ,CC (https://creativecommons.org/licenses/by-nc-sa/3.0/) Copyrights (https://www.storedb.org/store_v3/disclaimer.jsp) 
r3d100011071,studyforrest,http://www.studyforrest.org/,info@studyforrest.org ,over 350 GB,eng,dataProvider,"Otto von Guericke Universität Magdeburg, Institut  für Psychologie, Arbeitsgruppe Psychoinformatik",DEU,general,non-profit,http://www.ipsy.ovgu.de/psychoinformatik.html,Terms of use(http://www.studyforrest.org/pages/access.html) ,open ,ODC (https://opendatacommons.org/licenses/pddl/1.0/) ,open  ,ODC (https://opendatacommons.org/licenses/pddl/1.0/) 
r3d100011087,doRiNA,https://dorina.mdc-berlin.de/,markus.landthaler@mdc-berlin.de ,,eng,dataProvider,"Max-Delbrück-Centrum für Molekulare Medizin, Medizinische Systembiologie",DEU,funding,non-profit,https://www.mdc-berlin.de/bimsb,Tutorials(https://dorina.mdc-berlin.de/tutorials) ,open ,Copyrights (https://www.mdc-berlin.de/de/impressum) ,open  ,Copyrights (https://www.mdc-berlin.de/de/impressum) 
r3d100011089,GenomeRNAi,http://www.genomernai.org/,contact@genomernai.de ,687 RNAi screens thereof 478 human and 209 Drosophila;,eng,dataProvider,Helmholtz-Gemeinschaft Deutscher Forschungszentren,DEU,funding,non-profit,https://www.helmholtz.de/en/,Genome RNAi download information(http://www.genomernai.org/DownloadAllExperimentsForm) ,open ,,open  ,CC (https://creativecommons.org/licenses/by/3.0/de/deed.en) 
r3d100011104,Worldwide Protein Data Bank,http://www.wwpdb.org/,info@wwpdb.org ,PDB Depositions 152.043,eng,dataProvider,The Electron Microscopy Data Bank at PDBe,GBR,general,non-profit,http://www.ebi.ac.uk/pdbe/emdb/,Core Trust Seal(https://www.coretrustseal.org/wp-content/uploads/2021/05/worldwide-protein-data-bank_2021-05-07.pdf) Worldwide Protein Data Bank Policy Statement Governing Integrative/Hybrid Methods Structure Depositions(http://www.wwpdb.org/documentation/ihm) wwPDB Agreement(http://www.wwpdb.org/about/agreement) wwPDB Privacy and Usage Policies(https://www.wwpdb.org/about/privacy) ,open ,,embargoed  open  ,Public Domain (http://www.wwpdb.org/about/agreement) 
r3d100011105,European Zebrafish Resource Center,https://www.ezrc.kit.edu/index.php,EZRC-Requests@itg.kit.edu ,more than 300.000 zebrafish; 15.000 mutants; 20.000 compounds; over 2.500 plasmids,eng,dataProvider,Zebrafish Regulomics for Human Health,EEC,funding,non-profit,http://zf-health.org/,MTA form(https://www.ezrc.kit.edu/downloads/EZRC_MTA_Form.pdf) ,open ,,open  restricted  ,Copyrights (https://www.ezrc.kit.edu/legals.php) other (https://www.ezrc.kit.edu/downloads/EZRC_MTA_Form.pdf) 
r3d100011125,Science3D,https://www.science3d.org/,https://www.science3d.org/Imprint science3d@desy.de ,,eng,dataProvider,PaNdata ODI,EEC,funding,non-profit,http://pan-data.eu/,Impressum(http://www.desy.de/impressum/index_ger.html) Open Science in the Helmholtz Association(http://os.helmholtz.de/open-science-in-the-helmholtz-association/) ,open ,,open  ,
r3d100011136,VecNet,https://www.vecnet.org/,VecNet@jcu.edu.au https://www.vecnet.org/index.php/contact-us ,,eng,dataProvider,VecNet,AUS,general,non-profit,https://www.vecnet.org/,Information Sharing(https://www.vecnet.org/index.php/about-vecnet/information-sharing) Terms of Use(https://www.vecnet.org/index.php/terms-of-use) ,open ,,open  restricted  ,CC (https://creativecommons.org/licenses/by/3.0/us/) CC0 (https://creativecommons.org/publicdomain/zero/1.0/) Copyrights (https://www.vecnet.org/index.php/terms-of-use) 
r3d100011164,Australian New Zealand Clinical Trials Registry,http://www.anzctr.org.au/,info@actr.org.au ,14.582 trials; 21.218 datasets,eng,serviceProvider,World Health Organisation,AAA,funding,non-profit,http://www.who.int/en/,ANZCTR Access Policy(http://www.anzctr.org.au/docs/ANZCTR%20Access%20policy%20-%20V3%2023Apr08.pdf) Requirements of the International Medical Journal Editors(http://www.icmje.org/recommendations/browse/publishing-and-editorial-issues/clinical-trial-registration.html) Terms and conditions(http://www.anzctr.org.au/Support/Terms.aspx) WHO Registry Criteria(http://www.who.int/ictrp/network/criteria_summary/en/) ,open ,Copyrights (http://www.anzctr.org.au/Support/Terms.aspx) ,open  ,other (http://www.anzctr.org.au/docs/ANZCTR%20Access%20policy%20-%20V3%2023Apr08.pdf) 
r3d100011173,Cancer GenomeAtlas Data Portal,https://cancergenome.nih.gov/,https://cancergenome.nih.gov/abouttcga/peoplecontacts ,,eng,dataProvider,"National Institutes of Health, National Human Genome Research Institute",USA,funding,non-profit,https://www.genome.gov/,Policies and Guidelines(https://cancergenome.nih.gov/abouttcga/policies/policiesguidelines) Publication Guidelines(https://cancergenome.nih.gov/publications/publicationguidelines) ,open ,,embargoed  open  restricted  ,other (https://cancergenome.nih.gov/PublishedContent/Files/pdfs/TCGA%20Human%20Subjects%20Protection%20and%20Data%20Access%20Policies%20Rev_2014-01-16.pdf) other (https://cancergenome.nih.gov/abouttcga/policies/responsibleuse) other (https://cancergenome.nih.gov/pdfs/Data_Use_Certv082014) 
r3d100011174,Cancer Genomics Hub,https://cghub.ucsc.edu/,support@cghub.ucsc.edu ,,eng,dataProvider,"University of California, Santa Cruz, Genomics Institute",USA,general,non-profit,https://ucscgenomics.soe.ucsc.edu/,Policies(https://cancergenome.nih.gov/abouttcga/policies) Policies and guidelines(https://cancergenome.nih.gov/abouttcga/policies/policiesguidelines) Publication Guidelines(https://cancergenome.nih.gov/publications/publicationguidelines) ,open ,,open  restricted  ,other (https://cancergenome.nih.gov/abouttcga/policies/responsibleuse) 
r3d100011176,CURATOR,http://opac.ll.chiba-u.jp/da/curator/?lang=1,ir@office.chiba-u.jp ,51.825 images; 424 datasets,eng,dataProvider,Chiba University Library,JPN,general,non-profit,http://www.ll.chiba-u.ac.jp/english/index.html,OA Policy(https://openscience.jp/oa/oa-policy/) ,open ,,open  ,Copyrights (http://opac.ll.chiba-u.jp/da/curator/?lang=1) 
r3d100011209,Hazardous Substance Data Bank,https://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB,,over 5800 records,eng,dataProvider,U.S. National Library of Medicine,USA,general,non-profit,https://www.nlm.nih.gov/,Copyright Information and Downloading National Library of Medicine Data(https://www.nlm.nih.gov/databases/download.html) NLM Copyright Information(https://www.nlm.nih.gov/copyright.html) ,open ,other (https://www.nlm.nih.gov/databases/download.html) ,open  ,Copyrights (https://www.nlm.nih.gov/copyright.html) Public Domain (https://www.nlm.nih.gov/copyright.html) other (https://www.nlm.nih.gov/databases/download.html) 
r3d100011234,Pediatric Surgery @ Brown,http://med.brown.edu/pedisurg/Brown/IBCategories.html,,,eng,dataProvider,"Brown University, Warren Alpert Medical School",USA,general,non-profit,https://www.brown.edu/academics/medical/,,open ,,open  ,other (http://med.brown.edu/pedisurg/Fetal/ImageBank.html) 
r3d100011236,PhysioBank,https://archive.physionet.org/physiobank/,webmaster@physionet.org ,over 75 databases,eng,dataProvider,"U.S. Department of Health and Human Services, National Institutes of Health",USA,funding,non-profit,https://www.nih.gov/,Contributing to PhysioNet Guidelines(https://archive.physionet.org/guidelines.shtml) License Terms(https://archive.physionet.org/faq.shtml#license) PhysioNet Copying Policy(https://archive.physionet.org/copying.shtml) ,open ,,open  ,ODC (https://opendatacommons.org/licenses/pddl/1.0/) other (https://archive.physionet.org/copying.shtml) 
r3d100011237,Publicdata.eu,https://okfn.org/projects/lod2/,info@publicdata.eu ,47.863 datasets,eng,serviceProvider,Open Knowledge Foundation,GBR,general,non-profit,https://okfn.org/,Open Definition Compatible License(https://opendefinition.org/od/2.1/en/) UK Open Government Licence(https://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/) ,open ,,open  ,ODC (https://opendefinition.org/od/2.1/en/) OGL (https://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/) 
r3d100011242,The European Genome-phenome Archive,https://ega-archive.org/,helpdesk@ega-archive.org ,4.900 datasets; 768 DACs;  3.190 studies,eng,dataProvider,"European Molecular Biology Laboratory, European Bioinformatics Institute",EEC,general,non-profit,https://www.ebi.ac.uk/,CRG Terms of Use(https://www.crg.eu/node/10699) Data Access Agreement(https://ega-archive.org/files/Example_DAA.doc) EBI Terms of Use(https://www.ebi.ac.uk/about/terms-of-use) ,open ,,embargoed  restricted  restricted  ,other (https://ega-archive.org/files/Example_DAA.doc) 
r3d100011250,Wellcome Images,https://wellcomeimages.org/,info@wellcomecollection.org ,over 40.000 images,eng,dataProvider,Wellcome Trust,GBR,funding,non-profit,https://wellcome.ac.uk/,Access to personal data within our research collections(https://wellcomelibrary.org/content/documents/policy-documents/access-to-personal-data.pdf) Clinical Images Usage terms and Conditions(https://wellcomeimages.org/indexplus/page/Terms+and+Conditions.html?#clinical) Terms of Use(https://wellcomeimages.org/indexplus/page/Terms.html?) ,open ,,open  restricted  ,CC (https://creativecommons.org/licenses/by-nc-nd/4.0/) CC (https://creativecommons.org/licenses/by/4.0/) CC (https://creativecommons.org/share-your-work/public-domain/cc0/) 
r3d100011258,Behavioral Risk Factor Surveillance System,https://www.cdc.gov/brfss/,https://wwwn.cdc.gov/dcs/contactus/form ,,eng,dataProvider,"Centers for Disease Control and Prevention, National Center for Chronic Disease Prevention and Health Promotion, Division of Population Health",USA,general,non-profit,https://www.cdc.gov/NCCDPHP/dph/,CDC policies(https://www.cdc.gov/Other/policies.html) ,open ,,open  ,Public Domain (https://www.cdc.gov/brfss/about/brfss_faq.htm) other (https://www.cdc.gov/other/imagereuse.html) 
r3d100011260,Breast Cancer Surveillance Consortium,https://www.bcsc-research.org/,KPWA.scc@kp.org https://www.bcsc-research.org/contact ,,eng,dataProvider,USA.gov,USA,funding,non-profit,https://www.usa.gov/,Guide  to Working with BCSC Data(https://www.bcsc-research.org/application/files/1315/5657/4782/GuidetoworkingwithBCSCdata_V7.1_2018_12_19.pdf) Submitting a Research Proposal & Working with the BCSC Research Resource(https://www.bcsc-research.org/about/working-with-bcsc) ,open ,,open  restricted  ,Copyrights (https://www.cancer.gov/policies/copyright-reuse) other (http://www.bcsc-research.org/work/BCSC_collab_research_agreement.pdf) 
r3d100011264,Cancer Models Database,https://wiki.nci.nih.gov/display/caMOD/caMOD,ncicb@pop.nci.nih.gov ,,eng,dataProvider,"U.S. National Institutes of Health, National Cancer Institute",USA,general,non-profit,https://www.cancer.gov/,caMod users guide(https://wiki.nci.nih.gov/display/caMOD/caMOD+User%27s+Guide) ,open ,,open  ,Copyrights (https://wiki.nci.nih.gov/display/caMOD/caMOD) Public Domain (https://wiki.nci.nih.gov/display/caMOD/caMOD) 
r3d100011279,EUROCAT,https://eu-rd-platform.jrc.ec.europa.eu/eurocat_en,JRC-EUROCAT@ec.europa.eu http://www.eurocat-network.eu/contactus ,,eng,dataProvider,University of Ulster,GBR,general,non-profit,https://www.ulster.ac.uk/,Disclaimer(https://ec.europa.eu/info/legal-notice_en) ,restricted ,,restricted  ,Copyrights (https://ec.europa.eu/info/legal-notice_en#brexit-content-disclaimer) 
r3d100011282,The Health Improvement Network,https://www.the-health-improvement-network.com/,,587 practices covered; 12.000.000 patients; 3.600.000 active patients,eng,dataProvider,UK National Health Service,GBR,general,non-profit,https://www.nhs.uk/,European Network of Centres for Pharmacoepidemiology and Pharmacovigilance - ENCePP Guide on Methodological Standards(http://www.encepp.eu/standards_and_guidances/methodologicalGuide.shtml) Legal Notices(https://www.cegedimrx.co.uk/privacy-policy) ,closed ,,restricted  restricted  ,other (http://csdmruk.cegedim.com/our-data/accessing-the-data.shtml) 
r3d100011286,HumanCyc,https://humancyc.org/,biocyc-support@ai.sri.com https://humancyc.org/contact.shtml ,,eng,dataProvider,SRI International,USA,general,non-profit,https://www.sri.com/,BioCyc to Adopt Subscription Model(https://biocyc.org/news001-subscriptions.shtml) Data File License(https://humancyc.org/download.shtml) ,open ,,restricted  ,other (https://bioinformatics.ai.sri.com/ptools/licensing/all-reg.shtml) other (https://humancyc.org/download.shtml) other (https://www.phoenixbioinformatics.org/biocyc#product-tair-subscription) 
r3d100011290,London Datastore,https://data.london.gov.uk/,datastore@london.gov.uk ,975 datasets,eng,dataProvider,Greater London Authority,GBR,general,non-profit,https://www.london.gov.uk/,Terms and Conditions(https://data.london.gov.uk/about/terms-and-conditions/) The Freedom of Information Act 2000(https://www.london.gov.uk/about-us/governance-and-spending/sharing-our-information/freedom-information) UK Open Government Licence(https://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/) ,open ,,open  ,Copyrights (https://www.london.gov.uk/about-us/governance-and-spending/sharing-our-information/freedom-information) OGL (https://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/) other (https://data.london.gov.uk/about/terms-and-conditions/) 
